
Joint Seat Allocation Authority 2026
IITs, IISc, NITs, IIEST, IIITs and Other-GFTIs for the Academic Year 2026-27

 Home
 CSC Login
Opening and Closing Ranks
Round No
Institute Type
Institute Name
Academic Program
Seat Type / Category
Opening/Closing Ranks for Open Seats represent CRL. Opening/Closing Ranks for EWS, OBC-NCL, SC and ST Seats represent respective Category Ranks. Opening/Closing Ranks for PwD Seats represent PwD Ranks within Respective Categories.

If the Closing/Opening rank has a suffix 'P', it indicates that the corresponding rank is from Preparatory Rank List.

Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science)	AI	EWS	Female-only (including Supernumerary)	1357	1357
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science)	AI	OBC-NCL	Gender-Neutral	667	888
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science)	AI	OBC-NCL	Female-only (including Supernumerary)	3185	3185
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science)	AI	SC	Gender-Neutral	210	516
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science)	AI	ST	Gender-Neutral	470	470
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science)	AI	ST	Female-only (including Supernumerary)	652	652
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	1893	2750
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	3970	6336
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	173	250
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	422	542
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	860	1139
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	762	1324
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	2926	3247
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	48P	68P
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Female-only (including Supernumerary)	191P	191P
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	557	743
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	1404	1565
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	340	471
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	810	885
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	OPEN	Gender-Neutral	4514	7099
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	OPEN	Female-only (including Supernumerary)	13099	16204
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	OPEN (PwD)	Gender-Neutral	341P	341P
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	EWS	Gender-Neutral	1321	1639
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	EWS	Female-only (including Supernumerary)	3398	3398
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	OBC-NCL	Gender-Neutral	2648	3724
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	OBC-NCL	Female-only (including Supernumerary)	5713	7623
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	SC	Gender-Neutral	1992	2207
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	SC	Female-only (including Supernumerary)	2657	2657
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science)	AI	ST	Gender-Neutral	871	946
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	385	4376
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	6456	8730
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	142	308
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Female-only (including Supernumerary)	128	128
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	599	711
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	1246	1625
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	1023	1856
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	2681	4410
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	7P	7P
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	716	983
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	460	1806
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	80	339
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	601	611
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	1	65
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	77	395
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	1	6
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Female-only (including Supernumerary)	55	55
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	6	20
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	71	127
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS (PwD)	Gender-Neutral	2	2
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	12	60
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	88	280
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	5	7
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	1	33
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	27	95
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	SC (PwD)	Gender-Neutral	3	3
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	1	16
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	6	22
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	ST (PwD)	Female-only (including Supernumerary)	1	1
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	OPEN	Gender-Neutral	1296	2270
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	OPEN	Female-only (including Supernumerary)	5053	5998
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	OPEN (PwD)	Gender-Neutral	48	48
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	EWS	Gender-Neutral	502	573
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	EWS	Female-only (including Supernumerary)	790	790
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	OBC-NCL	Gender-Neutral	882	1439
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	OBC-NCL	Female-only (including Supernumerary)	2749	3139
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	OBC-NCL (PwD)	Gender-Neutral	16	16
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	SC	Gender-Neutral	646	727
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	SC	Female-only (including Supernumerary)	1424	1424
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	ST	Gender-Neutral	308	404
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	ST	Female-only (including Supernumerary)	484	484
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	175	400
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	920	1600
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	5	7
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	52	105
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	190	366
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	106	279
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	322	885
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	10	22
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	18	125
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	136	302
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	SC (PwD)	Female-only (including Supernumerary)	4	4
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	29	90
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	58	93
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OPEN	Gender-Neutral	420	844
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OPEN	Female-only (including Supernumerary)	1756	2693
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OPEN (PwD)	Gender-Neutral	25	25
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OPEN (PwD)	Female-only (including Supernumerary)	134	134
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	EWS	Gender-Neutral	150	211
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	EWS	Female-only (including Supernumerary)	718	916
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	EWS (PwD)	Gender-Neutral	27	27
